ngrams,class
"  BlockStatement ExpressionStatement SequenceExpression AssignmentExpression MemberExpression Identifier
",1
"  SequenceExpression AssignmentExpression MemberExpression Identifier Program ExpressionStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement SequenceExpression AssignmentExpression Identifier
",1
"  ExpressionStatement SequenceExpression AssignmentExpression Identifier Program ExpressionStatement
",1
"  AssignmentExpression Identifier Program ExpressionStatement UnaryExpression CallExpression
",1
"  FunctionExpression BlockStatement ExpressionStatement SequenceExpression LogicalExpression MemberExpression
",1
"  ExpressionStatement SequenceExpression LogicalExpression MemberExpression Identifier Program
",1
"  LogicalExpression MemberExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement SequenceExpression LogicalExpression
",1
"  BlockStatement ExpressionStatement SequenceExpression LogicalExpression MemberExpression Identifier
",1
"  SequenceExpression LogicalExpression MemberExpression Identifier Program ExpressionStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement SequenceExpression LogicalExpression AssignmentExpression
",1
"  ExpressionStatement SequenceExpression LogicalExpression AssignmentExpression MemberExpression Identifier
",1
"  ExpressionStatement SequenceExpression LogicalExpression AssignmentExpression FunctionExpression BlockStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression MemberExpression AssignmentExpression
",1
"  ExpressionStatement CallExpression MemberExpression AssignmentExpression MemberExpression MemberExpression
",1
"  MemberExpression AssignmentExpression MemberExpression MemberExpression Identifier Program
",1
"  BlockStatement ExpressionStatement SequenceExpression LogicalExpression AssignmentExpression FunctionExpression
",1
"  SequenceExpression LogicalExpression AssignmentExpression FunctionExpression BlockStatement ExpressionStatement
",1
"  BlockStatement ExpressionStatement CallExpression MemberExpression AssignmentExpression MemberExpression
",1
"  CallExpression MemberExpression AssignmentExpression MemberExpression MemberExpression Identifier
",1
"  ExpressionStatement CallExpression MemberExpression AssignmentExpression MemberExpression Identifier
",1
"  MemberExpression AssignmentExpression MemberExpression Identifier Program ExpressionStatement
",1
"  ExpressionStatement CallExpression MemberExpression AssignmentExpression LogicalExpression MemberExpression
",1
"  MemberExpression AssignmentExpression LogicalExpression MemberExpression MemberExpression Identifier
",1
"  LogicalExpression MemberExpression MemberExpression Identifier Program ExpressionStatement
",1
"  MemberExpression AssignmentExpression LogicalExpression MemberExpression Identifier Program
",1
"  AssignmentExpression FunctionExpression BlockStatement ExpressionStatement CallExpression Identifier
",1
"  CallExpression Identifier Program ExpressionStatement UnaryExpression CallExpression
",1
"  LogicalExpression AssignmentExpression FunctionExpression BlockStatement IfStatement BinaryExpression
",1
"  FunctionExpression BlockStatement IfStatement BinaryExpression MemberExpression MemberExpression
",1
"  IfStatement BinaryExpression MemberExpression MemberExpression MemberExpression Identifier
",1
"  MemberExpression MemberExpression MemberExpression Identifier Program ExpressionStatement
",1
"  SequenceExpression LogicalExpression AssignmentExpression FunctionExpression BlockStatement IfStatement
",1
"  AssignmentExpression FunctionExpression BlockStatement IfStatement BinaryExpression MemberExpression
",1
"  BinaryExpression MemberExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  AssignmentExpression FunctionExpression BlockStatement IfStatement BinaryExpression Literal
",1
"  LogicalExpression AssignmentExpression FunctionExpression BlockStatement IfStatement BlockStatement
",1
"  FunctionExpression BlockStatement IfStatement BlockStatement ExpressionStatement SequenceExpression
",1
"  IfStatement BlockStatement ExpressionStatement SequenceExpression AssignmentExpression Identifier
",1
"  IfStatement BlockStatement ExpressionStatement SequenceExpression AssignmentExpression CallExpression
",1
"  ExpressionStatement SequenceExpression AssignmentExpression CallExpression MemberExpression Identifier
",1
"  AssignmentExpression CallExpression MemberExpression Identifier Program ExpressionStatement
",1
"  ExpressionStatement SequenceExpression AssignmentExpression CallExpression Identifier Program
",1
"  AssignmentExpression CallExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  AssignmentExpression FunctionExpression BlockStatement IfStatement BlockStatement ExpressionStatement
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement SequenceExpression AssignmentExpression
",1
"  BlockStatement ExpressionStatement SequenceExpression AssignmentExpression Identifier Program
",1
"  SequenceExpression AssignmentExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  BlockStatement ExpressionStatement SequenceExpression AssignmentExpression MemberExpression CallExpression
",1
"  SequenceExpression AssignmentExpression MemberExpression CallExpression MemberExpression Identifier
",1
"  IfStatement BlockStatement ExpressionStatement SequenceExpression AssignmentExpression MemberExpression
",1
"  ExpressionStatement SequenceExpression AssignmentExpression MemberExpression CallExpression MemberExpression
",1
"  AssignmentExpression MemberExpression CallExpression MemberExpression Identifier Program
",1
"  SequenceExpression AssignmentExpression MemberExpression CallExpression Identifier Program
",1
"  MemberExpression CallExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  BlockStatement ExpressionStatement SequenceExpression AssignmentExpression MemberExpression Literal
",1
"  SequenceExpression AssignmentExpression MemberExpression Literal Program ExpressionStatement
",1
"  MemberExpression Literal Program ExpressionStatement UnaryExpression CallExpression
",1
"  IfStatement BlockStatement ExpressionStatement SequenceExpression AssignmentExpression Literal
",1
"  ExpressionStatement SequenceExpression AssignmentExpression Literal Program ExpressionStatement
",1
"  IfStatement BlockStatement ExpressionStatement SequenceExpression AssignmentExpression BinaryExpression
",1
"  ExpressionStatement SequenceExpression AssignmentExpression BinaryExpression BinaryExpression BinaryExpression
",1
"  AssignmentExpression BinaryExpression BinaryExpression BinaryExpression BinaryExpression BinaryExpression
",1
"  BinaryExpression BinaryExpression BinaryExpression BinaryExpression Literal Program
",1
"  BinaryExpression BinaryExpression Literal Program ExpressionStatement UnaryExpression
",1
"  BlockStatement ExpressionStatement SequenceExpression AssignmentExpression BinaryExpression BinaryExpression
",1
"  SequenceExpression AssignmentExpression BinaryExpression BinaryExpression BinaryExpression BinaryExpression
",1
"  BinaryExpression BinaryExpression BinaryExpression BinaryExpression BinaryExpression ConditionalExpression
",1
"  BinaryExpression BinaryExpression BinaryExpression ConditionalExpression MemberExpression MemberExpression
",1
"  BinaryExpression ConditionalExpression MemberExpression MemberExpression Identifier Program
",1
"  BinaryExpression ConditionalExpression MemberExpression MemberExpression Literal Program
",1
"  MemberExpression MemberExpression Literal Program ExpressionStatement UnaryExpression
",1
"  BinaryExpression BinaryExpression BinaryExpression ConditionalExpression MemberExpression Identifier
",1
"  BinaryExpression ConditionalExpression MemberExpression Identifier Program ExpressionStatement
",1
"  BinaryExpression BinaryExpression BinaryExpression BinaryExpression ConditionalExpression BinaryExpression
",1
"  BinaryExpression BinaryExpression ConditionalExpression BinaryExpression Literal Program
",1
"  ConditionalExpression BinaryExpression Literal Program ExpressionStatement UnaryExpression
",1
"  BinaryExpression BinaryExpression BinaryExpression ConditionalExpression BinaryExpression MemberExpression
",1
"  BinaryExpression ConditionalExpression BinaryExpression MemberExpression MemberExpression Identifier
",1
"  BinaryExpression MemberExpression MemberExpression Identifier Program ExpressionStatement
",1
"  BinaryExpression BinaryExpression ConditionalExpression BinaryExpression MemberExpression MemberExpression
",1
"  ConditionalExpression BinaryExpression MemberExpression MemberExpression Literal Program
",1
"  BinaryExpression ConditionalExpression BinaryExpression MemberExpression Identifier Program
",1
"  BinaryExpression BinaryExpression BinaryExpression ConditionalExpression Literal Program
",1
"  BinaryExpression ConditionalExpression Literal Program ExpressionStatement UnaryExpression
",1
"  SequenceExpression AssignmentExpression BinaryExpression BinaryExpression BinaryExpression CallExpression
",1
"  BinaryExpression BinaryExpression BinaryExpression CallExpression Identifier Program
",1
"  BinaryExpression CallExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  BinaryExpression BinaryExpression BinaryExpression CallExpression MemberExpression Identifier
",1
"  BinaryExpression CallExpression MemberExpression Identifier Program ExpressionStatement
",1
"  AssignmentExpression BinaryExpression BinaryExpression BinaryExpression CallExpression MemberExpression
",1
"  BinaryExpression BinaryExpression CallExpression MemberExpression Identifier Program
",1
"  SequenceExpression AssignmentExpression BinaryExpression BinaryExpression Literal Program
",1
"  BlockStatement ExpressionStatement SequenceExpression AssignmentExpression BinaryExpression CallExpression
",1
"  SequenceExpression AssignmentExpression BinaryExpression CallExpression Identifier Program
",1
"  SequenceExpression AssignmentExpression BinaryExpression CallExpression CallExpression MemberExpression
",1
"  BinaryExpression CallExpression CallExpression MemberExpression Identifier Program
",1
"  SequenceExpression AssignmentExpression BinaryExpression CallExpression CallExpression CallExpression
",1
"  BinaryExpression CallExpression CallExpression CallExpression MemberExpression MemberExpression
",1
"  CallExpression CallExpression MemberExpression MemberExpression Identifier Program
",1
"  BinaryExpression CallExpression CallExpression CallExpression MemberExpression Identifier
",1
"  ExpressionStatement SequenceExpression AssignmentExpression BinaryExpression CallExpression CallExpression
",1
"  AssignmentExpression BinaryExpression CallExpression CallExpression CallExpression Identifier
",1
"  CallExpression CallExpression CallExpression Identifier Program ExpressionStatement
",1
"  IfStatement BlockStatement ExpressionStatement SequenceExpression CallExpression MemberExpression
",1
"  ExpressionStatement SequenceExpression CallExpression MemberExpression MemberExpression Identifier
",1
"  ExpressionStatement SequenceExpression CallExpression MemberExpression Identifier Program
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement SequenceExpression CallExpression
",1
"  BlockStatement ExpressionStatement SequenceExpression CallExpression Identifier Program
",1
"  SequenceExpression CallExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  Identifier Program ExpressionStatement UnaryExpression CallExpression Identifier
",1
"  ExpressionStatement UnaryExpression CallExpression Identifier Program ExpressionStatement
",1
"  Program ExpressionStatement UnaryExpression CallExpression Identifier Program
",1
"  UnaryExpression CallExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  Identifier Program ExpressionStatement UnaryExpression CallExpression Literal
",1
"  ExpressionStatement UnaryExpression CallExpression Literal Program ExpressionStatement
",1
"  Program ExpressionStatement UnaryExpression CallExpression Literal Program
",1
"  UnaryExpression CallExpression Literal Program VariableDeclaration VariableDeclarator
",1
"  VariableDeclaration VariableDeclarator Identifier Program ExpressionStatement CallExpression
",1
"  Identifier Program ExpressionStatement CallExpression Identifier Program
",1
"  ExpressionStatement CallExpression ObjectExpression Property FunctionExpression Identifier
",1
"  ObjectExpression Property FunctionExpression Identifier Program ExpressionStatement
",1
"  FunctionExpression Identifier Program ExpressionStatement CallExpression ObjectExpression
",1
"  Property FunctionExpression BlockStatement ExpressionStatement AssignmentExpression Identifier
",1
"  AssignmentExpression Identifier Program ExpressionStatement CallExpression ObjectExpression
",1
"  MemberExpression Identifier Program IfStatement BinaryExpression UnaryExpression
",1
"  Program IfStatement BinaryExpression UnaryExpression Identifier Program
",1
"  BinaryExpression UnaryExpression Identifier Program IfStatement BinaryExpression
",1
"  Identifier Program IfStatement BinaryExpression Literal Program
",1
"  IfStatement BinaryExpression Literal Program IfStatement BlockStatement
",1
"  ExpressionStatement AssignmentExpression Identifier Program IfStatement BlockStatement
",1
"  IfStatement BlockStatement ExpressionStatement AssignmentExpression NewExpression Identifier
",1
"  ExpressionStatement AssignmentExpression NewExpression Identifier Program IfStatement
",1
"  NewExpression Identifier Program IfStatement BlockStatement ExpressionStatement
",1
"  Property Literal Program IfStatement BlockStatement FunctionDeclaration
",1
"  BlockStatement FunctionDeclaration BlockStatement ExpressionStatement CallExpression MemberExpression
",1
"  Identifier Program IfStatement BlockStatement FunctionDeclaration Identifier
",1
"  IfStatement BlockStatement FunctionDeclaration Identifier Program IfStatement
",1
"  FunctionDeclaration Identifier Program IfStatement BlockStatement FunctionDeclaration
",1
"  ExpressionStatement CallExpression Literal Program IfStatement BlockStatement
",1
"  Literal Program IfStatement BlockStatement FunctionDeclaration BlockStatement
",1
"  Literal Program IfStatement BlockStatement FunctionDeclaration Identifier
",1
"  Program FunctionDeclaration BlockStatement ExpressionStatement AssignmentExpression Literal
",1
"  AssignmentExpression Literal Program FunctionDeclaration BlockStatement ExpressionStatement
",1
"  Literal Program FunctionDeclaration BlockStatement ExpressionStatement AssignmentExpression
",1
"  ObjectExpression Property Identifier Program ExpressionStatement CallExpression
",1
"  CallExpression Identifier Program ExpressionStatement CallExpression MemberExpression
",1
"  Program VariableDeclaration VariableDeclarator Identifier Program VariableDeclaration
",1
"  VariableDeclarator Identifier Program VariableDeclaration VariableDeclarator Literal
",1
"  IfStatement BlockStatement VariableDeclaration VariableDeclarator Identifier Program
",1
"  IfStatement BlockStatement VariableDeclaration VariableDeclarator CallExpression MemberExpression
",1
"  VariableDeclaration VariableDeclarator CallExpression MemberExpression Identifier Program
",1
"  Identifier Program IfStatement BlockStatement ExpressionStatement AssignmentExpression
",1
"  Program ExpressionStatement CallExpression MemberExpression Identifier Program
",1
"  CallExpression MemberExpression Identifier Program ExpressionStatement CallExpression
",1
"  Identifier Program ExpressionStatement CallExpression MemberExpression Identifier
",1
"  ExpressionStatement CallExpression MemberExpression Identifier Program ExpressionStatement
",1
"  VariableDeclaration VariableDeclarator Identifier Program VariableDeclaration VariableDeclarator
",1
"  Identifier Program VariableDeclaration VariableDeclarator NewExpression Identifier
",1
"  VariableDeclarator Identifier Program VariableDeclaration VariableDeclarator CallExpression
",1
"  Identifier Program VariableDeclaration VariableDeclarator Identifier Program
",1
"  Identifier Program VariableDeclaration VariableDeclarator Literal Program
",1
"  MemberExpression Identifier Program ExpressionStatement CallExpression MemberExpression
",1
"  Identifier Program ExpressionStatement CallExpression Literal Program
",1
"  ExpressionStatement CallExpression Literal Program ExpressionStatement CallExpression
",1
"  ExpressionStatement CallExpression FunctionExpression Identifier Program ExpressionStatement
",1
"  FunctionExpression Identifier Program ExpressionStatement CallExpression FunctionExpression
",1
"  Program ExpressionStatement CallExpression FunctionExpression BlockStatement ExpressionStatement
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement CallExpression MemberExpression
",1
"  BlockStatement ExpressionStatement CallExpression MemberExpression Identifier Program
",1
"  Identifier Program ExpressionStatement CallExpression FunctionExpression BlockStatement
",1
"  ExpressionStatement CallExpression FunctionExpression BlockStatement ExpressionStatement CallExpression
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression MemberExpression Identifier
",1
"  MemberExpression Identifier Program ExpressionStatement CallExpression FunctionExpression
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement CallExpression Identifier
",1
"  CallExpression Identifier Program ExpressionStatement CallExpression FunctionExpression
",1
"  Literal Program ExpressionStatement CallExpression FunctionExpression BlockStatement
",1
"  BinaryExpression Identifier Program ExpressionStatement CallExpression FunctionExpression
",1
"  Program ExpressionStatement CallExpression FunctionExpression BlockStatement IfStatement
",1
"  BlockStatement IfStatement LogicalExpression BinaryExpression Literal Program
",1
"  ExpressionStatement CallExpression FunctionExpression BlockStatement IfStatement BlockStatement
",1
"  FunctionExpression BlockStatement IfStatement BlockStatement ExpressionStatement CallExpression
",1
"  IfStatement BlockStatement ExpressionStatement CallExpression MemberExpression Identifier
",1
"  CallExpression FunctionExpression BlockStatement IfStatement BlockStatement ExpressionStatement
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement CallExpression MemberExpression
",1
"  IfStatement BlockStatement ExpressionStatement CallExpression Literal Program
",1
"  FunctionExpression BlockStatement IfStatement BlockStatement ExpressionStatement AssignmentExpression
",1
"  IfStatement BlockStatement ExpressionStatement AssignmentExpression Identifier Program
",1
"  ExpressionStatement AssignmentExpression Identifier Program ExpressionStatement CallExpression
",1
"  IfStatement BlockStatement ExpressionStatement AssignmentExpression Literal Program
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement CallExpression CallExpression
",1
"  BlockStatement ExpressionStatement CallExpression CallExpression MemberExpression Identifier
",1
"  CallExpression CallExpression MemberExpression Identifier Program ExpressionStatement
",1
"  CallExpression Literal Program ExpressionStatement CallExpression FunctionExpression
",1
"  Program ExpressionStatement CallExpression FunctionExpression Identifier Program
",1
"  CallExpression FunctionExpression Identifier Program ExpressionStatement CallExpression
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression Identifier Program
",1
"  ExpressionStatement CallExpression Identifier Program ExpressionStatement CallExpression
",1
"  BlockStatement ExpressionStatement CallExpression MemberExpression Literal Program
",1
"  CallExpression MemberExpression Literal Program ExpressionStatement CallExpression
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression UnaryExpression Literal
",1
"  ExpressionStatement CallExpression UnaryExpression Literal Program ExpressionStatement
",1
"  UnaryExpression Literal Program ExpressionStatement CallExpression MemberExpression
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression BinaryExpression Literal
",1
"  ExpressionStatement CallExpression BinaryExpression Literal Program ExpressionStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression Literal Program
",1
"  Program FunctionDeclaration BlockStatement IfStatement BlockStatement ExpressionStatement
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement AssignmentExpression Identifier
",1
"  BlockStatement ExpressionStatement AssignmentExpression Identifier Program FunctionDeclaration
",1
"  CallExpression MemberExpression Identifier Program FunctionDeclaration BlockStatement
",1
"  Identifier Program FunctionDeclaration BlockStatement ExpressionStatement CallExpression
",1
"  FunctionDeclaration BlockStatement ExpressionStatement CallExpression MemberExpression Identifier
",1
"  ExpressionStatement CallExpression MemberExpression Identifier Program FunctionDeclaration
",1
"  MemberExpression Identifier Program FunctionDeclaration BlockStatement ExpressionStatement
",1
"  Program FunctionDeclaration BlockStatement ExpressionStatement CallExpression Identifier
",1
"  BlockStatement ExpressionStatement CallExpression Identifier Program FunctionDeclaration
",1
"  CallExpression Identifier Program FunctionDeclaration Identifier Program
",1
"  Program FunctionDeclaration Identifier Program FunctionDeclaration BlockStatement
",1
"  Program FunctionDeclaration BlockStatement ExpressionStatement CallExpression MemberExpression
",1
"  BlockStatement ExpressionStatement CallExpression FunctionExpression BlockStatement ExpressionStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression FunctionExpression BlockStatement
",1
"  ExpressionStatement CallExpression FunctionExpression BlockStatement IfStatement BinaryExpression
",1
"  FunctionExpression BlockStatement IfStatement BinaryExpression Identifier Program
",1
"  FunctionExpression BlockStatement IfStatement BinaryExpression Literal Program
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement CallExpression FunctionExpression
",1
"  BlockStatement ExpressionStatement CallExpression FunctionExpression BlockStatement IfStatement
",1
"  IfStatement BlockStatement ExpressionStatement CallExpression CallExpression MemberExpression
",1
"  ExpressionStatement CallExpression CallExpression MemberExpression Identifier Program
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement CallExpression Literal
",1
"  BlockStatement ExpressionStatement CallExpression Literal Program ExpressionStatement
",1
"  BlockStatement ExpressionStatement CallExpression FunctionExpression Identifier Program
",1
"  IfStatement BinaryExpression Identifier Program FunctionDeclaration BlockStatement
",1
"  Identifier Program FunctionDeclaration BlockStatement IfStatement BlockStatement
",1
"  FunctionDeclaration BlockStatement IfStatement BlockStatement IfStatement BinaryExpression
",1
"  IfStatement BlockStatement IfStatement BinaryExpression Literal Program
",1
"  IfStatement BinaryExpression Literal Program FunctionDeclaration BlockStatement
",1
"  Literal Program FunctionDeclaration BlockStatement IfStatement BlockStatement
",1
"  FunctionDeclaration BlockStatement IfStatement BlockStatement IfStatement BlockStatement
",1
"  IfStatement BlockStatement IfStatement BlockStatement ExpressionStatement CallExpression
",1
"  MemberExpression Identifier Program FunctionDeclaration BlockStatement IfStatement
",1
"  Program FunctionDeclaration BlockStatement IfStatement BlockStatement IfStatement
",1
"  BlockStatement IfStatement BlockStatement IfStatement BlockStatement ExpressionStatement
",1
"  CallExpression MemberExpression Identifier Program FunctionDeclaration Identifier
",1
"  Identifier Program FunctionDeclaration Identifier Program FunctionDeclaration
",1
"  FunctionDeclaration Identifier Program FunctionDeclaration Identifier Program
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression FunctionExpression Identifier
",1
"  UnaryExpression Literal Program ExpressionStatement CallExpression FunctionExpression
",1
"  CallExpression FunctionExpression BlockStatement IfStatement BinaryExpression Identifier
",1
"  BlockStatement IfStatement BinaryExpression Identifier Program ExpressionStatement
",1
"  CallExpression FunctionExpression BlockStatement IfStatement BinaryExpression Literal
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement CallExpression CallExpression
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement CallExpression Literal
",1
"  BlockStatement ExpressionStatement AssignmentExpression Identifier Program ExpressionStatement
",1
"  AssignmentExpression Identifier Program ExpressionStatement CallExpression FunctionExpression
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement AssignmentExpression Literal
",1
"  BlockStatement ExpressionStatement AssignmentExpression Literal Program ExpressionStatement
",1
"  AssignmentExpression Literal Program ExpressionStatement CallExpression FunctionExpression
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement AssignmentExpression Identifier
",1
"  CallExpression FunctionExpression BlockStatement ExpressionStatement AssignmentExpression Literal
",1
"  CallExpression CallExpression MemberExpression Identifier Program VariableDeclaration
",1
"  MemberExpression Identifier Program VariableDeclaration VariableDeclarator Identifier
",1
"  Program VariableDeclaration VariableDeclarator Literal Program FunctionDeclaration
",1
"  VariableDeclarator Literal Program FunctionDeclaration Identifier Program
",1
"  Program FunctionDeclaration Identifier Program FunctionDeclaration Identifier
",1
"  FunctionDeclaration Identifier Program FunctionDeclaration BlockStatement ExpressionStatement
",1
"  Program FunctionDeclaration BlockStatement ExpressionStatement AssignmentExpression Identifier
",1
"  AssignmentExpression Identifier Program FunctionDeclaration BlockStatement ExpressionStatement
",1
"  Literal Program FunctionDeclaration BlockStatement ExpressionStatement CallExpression
",1
"  FunctionDeclaration BlockStatement ExpressionStatement CallExpression Literal Program
",1
"  ExpressionStatement CallExpression Literal Program FunctionDeclaration BlockStatement
",1
"  Literal Program FunctionDeclaration BlockStatement IfStatement BinaryExpression
",1
"  FunctionDeclaration BlockStatement IfStatement BinaryExpression Identifier Program
",1
"  Identifier Program FunctionDeclaration BlockStatement IfStatement BinaryExpression
",1
"  FunctionDeclaration BlockStatement IfStatement BinaryExpression Literal Program
",1
"  FunctionDeclaration BlockStatement IfStatement BlockStatement ExpressionStatement CallExpression
",1
"  IfStatement BlockStatement ExpressionStatement CallExpression Identifier Program
",1
"  ExpressionStatement CallExpression Identifier Program FunctionDeclaration BlockStatement
",1
"  IfStatement UnaryExpression Identifier Program FunctionDeclaration BlockStatement
",1
"  FunctionDeclaration BlockStatement IfStatement BlockStatement ExpressionStatement AssignmentExpression
",1
"  ExpressionStatement AssignmentExpression Identifier Program FunctionDeclaration BlockStatement
",1
"  ExpressionStatement AssignmentExpression Literal Program FunctionDeclaration BlockStatement
",1
"  IfStatement BlockStatement IfStatement BinaryExpression Identifier Program
",1
"  MemberExpression Identifier Program ExpressionStatement AssignmentExpression MemberExpression
",1
"  Program ExpressionStatement AssignmentExpression MemberExpression Identifier Program
",1
"  AssignmentExpression MemberExpression Identifier Program ExpressionStatement AssignmentExpression
",1
"  Identifier Program ExpressionStatement AssignmentExpression MemberExpression Literal
",1
"  ExpressionStatement AssignmentExpression MemberExpression Literal Program ExpressionStatement
",1
"  MemberExpression Literal Program ExpressionStatement AssignmentExpression Literal
",1
"  Program ExpressionStatement AssignmentExpression Literal Program ExpressionStatement
",1
"  AssignmentExpression Literal Program ExpressionStatement AssignmentExpression MemberExpression
",1
"  FunctionExpression Identifier Program ExpressionStatement UnaryExpression CallExpression
",1
"  Program ExpressionStatement UnaryExpression CallExpression FunctionExpression BlockStatement
",1
"  Identifier Program ExpressionStatement UnaryExpression CallExpression FunctionExpression
",1
"  MemberExpression Identifier Program ExpressionStatement UnaryExpression CallExpression
",1
"  LogicalExpression AssignmentExpression MemberExpression Identifier Program ExpressionStatement
",1
"  LogicalExpression AssignmentExpression FunctionExpression BlockStatement ExpressionStatement CallExpression
",1
"  MemberExpression MemberExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  AssignmentExpression FunctionExpression BlockStatement ExpressionStatement CallExpression MemberExpression
",1
"  AssignmentExpression MemberExpression MemberExpression Identifier Program ExpressionStatement
",1
"  CallExpression MemberExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  IfStatement BinaryExpression MemberExpression MemberExpression Identifier Program
",1
"  BlockStatement IfStatement BinaryExpression MemberExpression Identifier Program
",1
"  BinaryExpression Literal Program ExpressionStatement UnaryExpression CallExpression
",1
"  MemberExpression CallExpression MemberExpression Identifier Program ExpressionStatement
",1
"  Literal Program ExpressionStatement UnaryExpression CallExpression FunctionExpression
",1
"  CallExpression MemberExpression MemberExpression Identifier Program ExpressionStatement
",1
"  CallExpression Literal Program ExpressionStatement UnaryExpression CallExpression
",1
"  Literal Program ExpressionStatement CallExpression ObjectExpression Property
",1
"  ExpressionStatement CallExpression ObjectExpression Property Literal Program
",1
"  ObjectExpression Property Literal Program ExpressionStatement CallExpression
",1
"  Program ExpressionStatement CallExpression ObjectExpression Property FunctionExpression
",1
"  CallExpression ObjectExpression Property FunctionExpression BlockStatement ExpressionStatement
",1
"  Property FunctionExpression BlockStatement ExpressionStatement CallExpression MemberExpression
",1
"  Identifier Program ExpressionStatement CallExpression ObjectExpression Property
",1
"  ExpressionStatement CallExpression ObjectExpression Property FunctionExpression BlockStatement
",1
"  ObjectExpression Property FunctionExpression BlockStatement ExpressionStatement CallExpression
",1
"  MemberExpression Identifier Program ExpressionStatement CallExpression ObjectExpression
",1
"  Property FunctionExpression BlockStatement ExpressionStatement CallExpression Literal
",1
"  CallExpression Literal Program ExpressionStatement CallExpression ObjectExpression
",1
"  Property FunctionExpression BlockStatement ExpressionStatement CallExpression FunctionExpression
",1
"  BlockStatement ExpressionStatement CallExpression Literal Program FunctionDeclaration
",1
"  CallExpression Literal Program FunctionDeclaration Identifier Program
",1
"  ExpressionStatement CallExpression Literal Program FunctionDeclaration Identifier
",1
"  Literal Program FunctionDeclaration Identifier Program FunctionDeclaration
",1
"  FunctionDeclaration Identifier Program FunctionDeclaration BlockStatement IfStatement
",1
"  Program FunctionDeclaration BlockStatement IfStatement BinaryExpression Literal
",1
"  BlockStatement IfStatement BinaryExpression Literal Program FunctionDeclaration
",1
"  BinaryExpression Literal Program FunctionDeclaration BlockStatement IfStatement
",1
"  Program FunctionDeclaration BlockStatement IfStatement BinaryExpression Identifier
",1
"  BlockStatement IfStatement BinaryExpression Identifier Program FunctionDeclaration
",1
"  BinaryExpression Identifier Program FunctionDeclaration BlockStatement IfStatement
",1
"  MemberExpression Identifier Program FunctionDeclaration Identifier Program
",1
"  BlockStatement IfStatement BlockStatement IfStatement Identifier Program
",1
"  BlockStatement IfStatement Identifier Program FunctionDeclaration BlockStatement
",1
"  Identifier Program FunctionDeclaration Identifier Program ExpressionStatement
",1
"  FunctionDeclaration Identifier Program ExpressionStatement UnaryExpression CallExpression
",1
"  UnaryExpression CallExpression FunctionExpression BlockStatement ForStatement VariableDeclaration
",1
"  FunctionExpression BlockStatement ForStatement VariableDeclaration VariableDeclarator Identifier
",1
"  ForStatement VariableDeclaration VariableDeclarator Identifier Program ExpressionStatement
",1
"  VariableDeclarator Identifier Program ExpressionStatement UnaryExpression CallExpression
",1
"  FunctionExpression BlockStatement ForStatement VariableDeclaration VariableDeclarator CallExpression
",1
"  ForStatement VariableDeclaration VariableDeclarator CallExpression MemberExpression Identifier
",1
"  VariableDeclarator CallExpression MemberExpression Identifier Program ExpressionStatement
",1
"  ForStatement VariableDeclaration VariableDeclarator CallExpression Literal Program
",1
"  VariableDeclarator CallExpression Literal Program ExpressionStatement UnaryExpression
",1
"  ExpressionStatement UnaryExpression CallExpression FunctionExpression BlockStatement ForStatement
",1
"  CallExpression FunctionExpression BlockStatement ForStatement VariableDeclaration VariableDeclarator
",1
"  BlockStatement ForStatement VariableDeclaration VariableDeclarator Identifier Program
",1
